topic,diff,se,p
5,0.07779254209196,0.010916496817846,1.61114545333161e-12
8,0.0615637379593619,0.0110588043198877,3.07673810374428e-08
3,-0.0639955648737972,0.0121436727816712,1.56828041711716e-07
7,-0.0670784168158679,0.0134803790066969,7.2549343195492e-07
9,0.0539304941131373,0.0112196892732692,1.69087406437732e-06
6,-0.0432826629384178,0.0104062950759249,3.37711997629886e-05
2,-0.0453971125718113,0.0113902593094933,7.06055356344794e-05
4,0.0515388230655581,0.0150248185399052,0.000619718032872396
10,-0.0299240297284693,0.00987642488147425,0.00248946207087568
1,0.00508557592191543,0.00837222493179589,0.543656538376717
