K,exclusivity,semantic_coherence,held_out_likelihood,residuals,bound,lower_bound,em_iterations,frex_separation
5,8.66360547322003,-41.7304269833757,-7.35293789399255,2.82368486424014,-3255670.31821583,-3255665.53072408,71,
6,8.8481388083018,-48.8132311178739,-7.33540067210367,2.72431454475467,-3245684.41533115,-3245677.83607994,73,
7,8.88382856359798,-53.6216515859402,-7.32778563863145,2.68007844249542,-3237413.44691873,-3237404.92175736,76,
8,8.91754797377929,-49.0588916389308,-7.31066191092247,2.56509986822695,-3226521.8108925,-3226511.2062896,71,
9,9.02348011987287,-56.9735291785717,-7.29551070257896,2.53230048370983,-3217328.24495467,-3217315.44312719,78,
10,9.15365245984557,-60.8698706077997,-7.29005058212156,2.50178185230693,-3214710.01213672,-3214694.90772415,100,
11,9.19989532492488,-53.5989338158124,-7.29104346770627,2.46960221422307,-3213984.96871314,-3213967.46640529,100,
12,9.23752206086893,-58.1944937007909,-7.28853633012303,2.412767925778,-3206151.47545315,-3206131.48823865,100,
13,9.33364900397508,-62.1513442525497,-7.28306273761203,2.37517278324899,-3203572.52470967,-3203549.97254582,100,
14,9.3509306659679,-62.3119731896147,-7.27528496199761,2.35849923552793,-3197730.46021566,-3197705.26899448,100,
15,9.36286747799899,-66.5203468406214,-7.26322105975459,2.32903132776958,-3192011.1715182,-3191983.27224682,100,
16,9.39287910871474,-70.4820922340126,-7.25877077085327,2.2929408508053,-3189840.1058378,-3189809.43397769,100,
17,9.44376540833775,-74.3945729584313,-7.25029139889202,2.27004574045154,-3184195.04022063,-3184161.53514718,100,
18,9.43038092432289,-70.0096158778112,-7.24221610549536,2.22458746503337,-3176099.62524751,-3176063.2298023,100,
19,9.44893726188787,-70.5865988699006,-7.24902309578366,2.21468216774175,-3173137.54625432,-3173098.20637014,100,
20,9.40261627887697,-67.951379342962,-7.24964126040193,2.19729165544627,-3171529.03969406,-3171486.7040776,100,
21,9.40669864040705,-67.7351507887924,-7.24488927507554,2.15462689144911,-3165926.59491623,-3165881.21477733,100,
22,9.44268020378318,-71.0373332477108,-7.2545737058749,2.16040171093743,-3166525.52432757,-3166477.05314622,100,
23,9.48090414709691,-68.9966769125268,-7.23974600689278,2.15710061023363,-3163241.05144821,-3163189.44477264,100,
24,9.49067765446996,-74.6807185477823,-7.24521630372074,2.12540834508217,-3158938.40127015,-3158883.61654075,100,
25,9.49230920752833,-71.7255876691187,-7.24004479491836,2.11630286494119,-3153404.30601055,-3153346.30240533,100,
26,9.49868124067835,-71.7140330029599,-7.22336292957502,2.08575221903671,-3144262.18500823,-3144200.92330647,100,
27,9.54461694089582,-79.018737909828,-7.23683956299813,2.08967979818875,-3145968.80955227,-3145904.25201364,100,
28,9.52395638148906,-75.8081377609255,-7.22188802129976,2.04435890088086,-3140884.4914786,-3140816.60173546,100,
29,9.51181383655401,-74.9379142817978,-7.21691724650107,2.0251932257067,-3134778.31379562,-3134707.05675666,100,
30,9.49509167133971,-74.5622055478887,-7.21962359304819,2.00306974735026,-3131543.99443281,-3131469.33619647,100,
