topic_number,topic_name,top_15_frex_words,top_15_prob_words,description
1,Topic 1,"unrra, joint, munich, theodore, zone, committee, cases, palestine, ort, trial, jdc, evidence, general, nuremberg, japanese","people, jews, camp, jewish, american, army, germany, camps, wanted, want, munich, ship, palestine, general, military","Topic about: unrra, joint, munich"
2,Topic 2,"says, used, afraid, guy, god, want, sudden, somebody, give, alive, nobody, kill, look, start, told","people, used, want, see, something, told, tell, says, took, take, little, lot, say, work, give","Topic about: says, used, afraid"
3,Topic 3,"norway, oslo, prison, norwegian, resistance, interpreter, troops, russians, enemy, officers, fighting, division, communists, army, unit","war, army, germans, knew, polish, course, german, russian, first, russians, back, name, started, germany, also","Topic about: norway, oslo, prison"
4,Topic 4,"house, apartment, street, room, store, dutch, hiding, david, brother, building, creche, rooms, door, slept, streets","house, mother, back, father, took, brother, jewish, lived, street, left, home, apartment, remember, jews, little","Topic about: house, apartment, street"
5,Topic 5,"kovno, roll, bread, sobczak, jauary, barn, ghetto, potatoes, soup, wentworth, irene, films, camera, luta, inc","ghetto, people, bread, food, day, work, little, german, big, kovno, roll, jewish, took, already, put","Topic about: kovno, roll, bread"
6,Topic 6,"benson, josie, liebermann, oral, verbatim, bill, traum, frank, verified, collection, memorial, accuracy, reader, checked, susan","benson, bill, states, united, born, name, holocaust, memorial, father, museum, family, mother, tell, frank, first","Topic about: benson, josie, liebermann"
7,Topic 7,"suzy, snyder, mandel, manny, warsaw, aunt, serei, klayman, poland, uprising, polish, ludwig, dora, hungary, orphanage","father, war, polish, warsaw, mother, poland, family, remember, suzy, manny, snyder, years, aunt, left, mandel","Topic about: suzy, snyder, mandel"
8,Topic 8,"railroad, prisoners, train, barracks, cars, barrack, gas, kapo, birkenau, trains, station, theresienstadt, camp, wire, barbed","camp, train, remember, day, auschwitz, german, put, prisoners, took, back, days, people, saw, next, night","Topic about: railroad, prisoners, train"
9,Topic 9,"swedish, gluckstein, raoul, often, wallenberg, eichmann, situation, sense, human, denmark, perhaps, survival, deportation, believe, example","people, jews, jewish, way, course, say, many, much, happened, something, germans, actually, never, also, believe","Topic about: swedish, gluckstein, raoul"
10,Topic 10,"english, kibbutz, york, university, thomas, carol, buergenthal, college, citizen, study, israel, teaching, languages, graduated, learned","years, school, new, israel, states, back, english, worked, united, actually, year, york, money, german, first","Topic about: english, kibbutz, york"
11,Topic 11,"nesse, godin, rice, heberer, albert, archives, garih, applause, patricia, kahn, ushmm, henry, survivor, program, guests","first, holocaust, museum, thank, program, today, survivors, nesse, godin, ushmm, archives, ask, henry, united, see","Topic about: nesse, godin, rice"
12,Topic 12,"loved, religious, child, play, music, kids, memories, mean, played, teacher, mitzvah, school, holidays, gymnasium, love","remember, school, mother, mean, children, father, never, years, say, jewish, good, always, little, parents, child","Topic about: loved, religious, child"
