gender,interviewer,total_documents,avg_topic_diversity,max_topic_prevalence
Male,Linda G. Kuzmack; Linda G. Kuzmack,10,0.909379375637335,0.780954707434599
Female,Linda G. Kuzmack; Linda G. Kuzmack,6,0.931762231601752,0.63477071188929
Male,Randy M. Goldman; Randy M. Goldman,4,0.908358403976446,0.751240517743525
Female,Adina Conn; Adina Conn,1,0.903205219796292,0.669481955311492
Male,Dr. Joan Ringelheim; Dr. Joan Ringelheim,5,0.90180745874713,0.823096812145222
Male,Michael Berenbaum; Dr. Joan Ringelheim,1,0.924939158734739,0.516512346459528
Male,Holly Snyder; Holly Snyder,1,0.875992817821705,0.764639652618334
Male,Dr. Radu Ioanid; Dr. Radu Ioanid,1,0.905486164098912,0.665858920381542
Female,Sandra Bradley; Sandra Bradley,1,0.931088271462724,0.508502185349284
Male,Judith Goldstein; Judith Goldstein,1,0.886850567927847,0.732519069363929
Female,Randy M. Goldman; Randy M. Goldman,1,0.909572456133515,0.591679820566904
Female,Katie Davis; Katie Davis,1,0.912477944884712,0.566767008073569
Female,Dr. Joan Ringelheim; Dr. Joan Ringelheim,1,0.901299799900345,0.665714472320633
Male,Ina Navazelskis; Ina Navazelskis,5,0.920183247211078,0.717586290692954
Male,Chris Johnson; Chris Johnson,1,0.937642197865641,0.486543374463971
Male,Mr. Scott Miller; Mr. Scott Miller,1,0.931355102704702,0.459388283494877
Female,Vera Frankl; Vera Frankl,1,0.911883420243434,0.600380338652433
Female,Sidney M. Bolkosky; Sidney M. Bolkosky,1,0.903642634676151,0.650242672650247
Female,Peggy Frankston; Peggy Frankston,1,0.884112900965143,0.739421643194105
Female,Ina Navazelskis; Ina Navazelskis,8,0.892013370396466,0.849069460544446
Male,Ann E. Erling Gofus; Ann E. Erling Gofus,1,0.952583026513139,0.312714687877814
Female,Agnieszka McClure; Agnieszka McClure,1,0.9117262574933,0.609073072346483
Male,Duncan Little; Duncan Little,1,0.932019065772072,0.513319678015278
Male,Sandra Bradley; Sandra Bradley,2,0.899859013101486,0.677443082957777
Male,Gail Schwartz; Gail Schwartz,6,0.937340821715181,0.627850855243691
Male,Mira Hodos; Mira Hodos,1,0.915703346160885,0.546015039081149
Female,Gail Schwartz; Gail Schwartz,1,0.899102100389477,0.691749419385684
Male,Anthony Young; Anthony Young,1,0.893057039931671,0.7109274891102
Male,NULL,14,0.922925202235929,0.819161506636548
Male,Jennifer Clayman,1,0.921882822177377,0.562348332491077
Female,Sandra Bradley,2,0.876134270117841,0.889301567118986
Male,Sandra Bradley,2,0.863596402521102,0.932695939224489
Male,Katie Davis,1,0.92458720823873,0.572261450195987
Female,Regine Beyer,3,0.926056312523419,0.649092111780159
Male,Dan Collison,1,0.888943545422575,0.726493028127942
Male,Dan Gedimen; Dan Gedimen,1,0.948732341943023,0.35163074905739
Male,Melissa Block; Melissa Block,1,0.953248392597437,0.342690007211228
Female,Arwin Donohue; Arwin Donohue,1,0.901276481159122,0.674536115037378
Female,NULL,7,0.933943510067803,0.610480265280917
